,제품명,가격,리뷰수
0,이지심플 100 컴퓨터책상,"24,080","1,778"
1,원목 컴퓨터책상 2인용,"98,000","2,950"
2,아카시아리빙 이지심플 우드 기본형 책상 80,"24,000","4,340"
3,위드제이 컴퓨터 책상,"29,500","5,735"
4,더준 컴퓨터책상,"28,500","1,968"
5,프리메이드 모노 일자형 책상,"41,890",30
6,모던하우스 에반스 2000 전면책상세트 V2,"85,470",10
7,누마 1인용 2인용 컴퓨터책상 1200,"57,600","2,958"
8,컴퓨터 철제 책상 2인용 1500,"60,000",424
9,제닉스 ARENA DESK 1200 게이밍 1인용 컴퓨터책상,"246,380","1,322"
10,오크빌 오던 원목 책상 1200,"97,000",196
11,모던하우스 브로디 전면 책상,"54,500",9
12,알로이 컴퓨터 책상 1200 상판 + ㄹ책장,"110,000",127
13,로포텐 오르간 원목책상 1200,"119,000",56
14,프리메이드 한스틸 원목 책상 1000,"69,000",545
15,더준 접이식책상,"30,000",367
16,종이가구 공부집중 독서실 칸막이,"8,770",805
17,다윈 402 선반형 책상,"61,010",561
18,프리메이드 프리퍼 책상 H형책상,"32,900","1,895"
19,데스커 DSAD116D 컴퓨터 데스크,"137,000",837
20,제이에스가구 노르딕 일자형 학생 책상 높이조절 데스크,"24,600",477
21,로포텐 비버 1600 원목책상,"199,000",328
22,로포텐 맥파이 원목 철제 컴퓨터 책상,"105,000",181
23,바오입식책상 와이드책상 1인용책상,"19,240","1,286"
24,블루밍홈 베이직입식책상1200/테이블/컴퓨터/사무용,"22,900","3,907"
25,홈프리 접이식 책상,"29,200",596
26,다윈 컴퓨터책상,"34,490","1,112"
27,BREEZE 멀티 1인 책상세트 1000,"79,900",265
28,까미노디자인 민트 원목 1200 컴퓨터 책상,"86,350","1,266"
29,에넥스 리얼스틸 1200 책상,"39,080","3,517"
30,이케아 LINNMON ADILS 테이블 120cm,"52,660",498
31,데코라인 산타나 800 집중력책상세트,"99,000",51
32,삼익가구 라운지 서랍형 책상 900,"119,000",23
33,더준 서서일하기 열풍 스탠딩책상,"33,890","1,195"
34,소프시스 위더스 멀티책상 860,"22,800","1,043"
35,소프시스 위더스 PM책상 1260,"41,310","1,011"
36,끌리미 1인용 컴퓨터책상 860,"22,200",43
37,홈프리 퍼니처 1인용 컴퓨터 책상,"17,400",541
38,이케아 LINNMON ADILS 테이블 100cm,"19,700",991
39,소프시스 위더스 멀티책상 1460,"40,900","1,755"
